tool_slug,name,category,affiliate_commission,cookie_window_days,pricing_from_usd_month,free_tier,g2_rating,integrations_count,customers_thousands,library_items_count,standout_feature
kit,Kit,email marketing,50% recurring first 12 months,90,25,yes,4.4,130,600,450,creator-focused automations and paid newsletter support
getresponse,GetResponse,email marketing,40-60% recurring for 12 months,30,19,yes,4.3,170,350,220,webinars built into the marketing suite
elevenlabs,ElevenLabs,ai voice,22% first 12 months,30,5,yes,4.8,40,1000,3200,high-fidelity voice cloning and multilingual dubbing
surfer,Surfer SEO,seo software,75-125% of first monthly payment,60,89,no,4.6,25,150,140,SERP-driven content editor with NLP term coverage
instantly,Instantly,cold email,20% lifetime entry tier,30,37,no,4.5,35,250,600,unlimited sending accounts with warmup included
adcreative,AdCreative.ai,ai ad creative,30% per transaction,30,39,yes,4.6,55,300,140,generates scored ad creatives from a product URL
gamma,Gamma,ai presentations,30% first year,45,10,yes,4.7,18,850,65,one-prompt deck and webpage generation
murf,Murf AI,ai voice,20% commission,30,19,yes,4.4,80,500,120,studio-grade voiceover editor with a large voice library
socialbee,SocialBee,social scheduling,20% lifetime,30,29,no,4.2,25,65,85,category-based content recycling queues
moosend,Moosend,email marketing,up to 40% via Refersion,30,9,yes,4.4,110,75,95,low-cost automation workflows for small lists
